timestamp,PKW,LKW,Buses,Total,hour,day_of_week,day_of_month,hour_sin,hour_cos,is_weekend,is_rush_hour,lag_1,lag_2,lag_3,lag_6,lag_12,lag_24,lag_48,roll_mean_3,roll_std_3,roll_mean_6,roll_std_6,roll_mean_12,roll_std_12,roll_mean_24,roll_std_24
2023-01-12 16:00:00,391.0,745.0,443.0,594.0,16,3,12,-0.8660254037844385,-0.5000000000000004,0,0,303.0,366.0,399.0,247.0,55.0,282.0,213.0,353.3333333333333,45.3468117218107,321.8333333333333,74.98911032054336,297.0833333333333,106.85032720699718,210.95833333333334,144.12690035450387
2023-01-12 17:00:00,507.0,695.0,449.0,583.0,17,3,12,-0.9659258262890683,-0.25881904510252063,0,1,391.0,303.0,366.0,223.0,81.0,348.0,255.0,400.3333333333333,102.319760229065,369.1666666666667,88.53568018977785,332.5833333333333,99.01189858095836,217.58333333333334,154.01522134450573
2023-01-12 18:00:00,458.0,630.0,363.0,568.0,18,3,12,-1.0,-1.8369701987210297e-16,0,1,507.0,391.0,303.0,249.0,167.0,373.0,251.0,452.0,58.23229344616283,404.0,71.2235915971664,356.8333333333333,89.99579114737723,221.125,158.65201529297298
2023-01-12 19:00:00,359.0,455.0,259.0,542.0,19,3,12,-0.9659258262890684,0.2588190451025203,0,1,458.0,507.0,391.0,399.0,344.0,240.0,162.0,441.3333333333333,75.39451792626139,397.3333333333333,73.61702701594666,358.0833333333333,89.90546381751412,226.08333333333334,161.10809675674187
2023-01-12 20:00:00,254.0,385.0,188.0,485.0,20,3,12,-0.8660254037844386,0.5000000000000001,0,0,359.0,458.0,507.0,366.0,449.0,126.0,72.0,357.0,102.01470482239321,378.6666666666667,94.41327590263258,341.8333333333333,89.60096725668343,231.41666666666666,159.76393364196318
2023-01-12 21:00:00,138.0,303.0,85.0,422.0,21,3,12,-0.7071067811865477,0.7071067811865474,0,0,254.0,359.0,458.0,303.0,346.0,110.0,57.0,250.33333333333334,110.54561652699464,351.1666666666667,135.81372046544718,324.5,107.12651823470618,232.58333333333334,158.93884978511227
2023-01-12 22:00:00,95.0,214.0,44.0,367.0,22,3,12,-0.5000000000000004,0.8660254037844384,0,0,138.0,254.0,359.0,391.0,247.0,79.0,30.0,162.33333333333334,82.24556725643852,301.8333333333333,168.32042854825028,311.8333333333333,124.67254077880324,233.25,158.2989054866169
2023-01-12 23:00:00,53.0,153.0,34.0,330.0,23,3,12,-0.25881904510252157,0.9659258262890681,0,0,95.0,138.0,254.0,507.0,223.0,30.0,27.0,95.33333333333333,42.50098038084949,226.16666666666666,159.4558455079858,297.6666666666667,143.8656780936067,234.20833333333334,157.079868681278
2023-01-13 00:00:00,26.0,141.0,20.0,266.0,0,4,13,0.0,1.0,0,0,53.0,95.0,138.0,458.0,249.0,29.0,33.0,58.0,34.77067730142772,154.16666666666666,128.33303030267246,279.0833333333333,163.75172911416453,234.08333333333334,157.25136805008466
2023-01-13 01:00:00,30.0,111.0,14.0,268.0,1,4,13,0.25881904510252074,0.9659258262890683,0,0,26.0,53.0,95.0,359.0,399.0,24.0,12.0,36.333333333333336,14.571661996263675,99.33333333333333,86.91068212059236,248.33333333333334,173.53979545355165,234.33333333333334,156.907246671309
2023-01-13 02:00:00,51.0,63.0,4.0,264.0,2,4,13,0.49999999999999994,0.8660254037844387,0,0,30.0,26.0,53.0,254.0,366.0,31.0,28.0,35.666666666666664,13.428824718989935,65.5,43.159008329663784,222.08333333333334,177.8924385604111,235.16666666666666,155.82980310656842
2023-01-13 03:00:00,44.0,45.0,3.0,339.0,3,4,13,0.7071067811865476,0.7071067811865476,0,0,51.0,30.0,26.0,138.0,303.0,53.0,37.0,41.666666666666664,10.692676621564628,49.833333333333336,24.685353282192597,200.5,182.8260474778241,234.79166666666666,156.29736963117193
2023-01-13 04:00:00,75.0,76.0,11.0,390.0,4,4,13,0.8660254037844386,0.5000000000000001,0,0,44.0,51.0,30.0,95.0,391.0,55.0,43.0,56.666666666666664,16.2583311976769,46.5,17.73978579352047,174.16666666666666,175.50386337800663,235.625,155.34752415429594
2023-01-13 05:00:00,96.0,83.0,12.0,455.0,5,4,13,0.9659258262890683,0.25881904510252074,0,0,75.0,44.0,51.0,53.0,507.0,81.0,71.0,71.66666666666667,26.15976554431161,53.666666666666664,27.10473513367464,139.91666666666666,141.4447906000032,236.25,154.72731975401393
2023-01-13 06:00:00,245.0,142.0,31.0,531.0,6,4,13,1.0,6.123233995736766e-17,0,0,96.0,75.0,44.0,26.0,458.0,167.0,121.0,138.66666666666666,92.68405112711328,90.16666666666667,79.40130141670633,122.16666666666667,107.09285124544381,239.5,154.02710094683647
2023-01-13 07:00:00,371.0,253.0,57.0,597.0,7,4,13,0.9659258262890683,-0.25881904510252063,0,1,245.0,96.0,75.0,30.0,359.0,344.0,296.0,237.33333333333334,137.6602096952251,147.0,132.20438721918413,123.16666666666667,109.53358416762427,240.625,154.91956187703963
2023-01-13 08:00:00,434.0,408.0,126.0,605.0,8,4,13,0.8660254037844387,-0.4999999999999998,0,1,371.0,245.0,96.0,51.0,254.0,449.0,369.0,350.0,96.23408959407261,210.83333333333334,164.98171615869026,138.16666666666666,137.76583118619874,240.0,154.07028322786016
2023-01-13 09:00:00,322.0,453.0,174.0,616.0,9,4,13,0.7071067811865476,-0.7071067811865475,0,1,434.0,371.0,245.0,44.0,138.0,346.0,293.0,375.6666666666667,56.145643939074425,257.1666666666667,146.79157559841994,153.5,147.63191327819936,239.0,153.42892420469062
2023-01-13 10:00:00,313.0,548.0,205.0,589.0,10,4,13,0.49999999999999994,-0.8660254037844387,0,0,322.0,434.0,371.0,75.0,95.0,247.0,243.0,356.3333333333333,67.41167060185744,296.8333333333333,116.8168081513385,171.66666666666666,153.0907831281421,241.75,154.16824519364212
2023-01-13 11:00:00,300.0,606.0,236.0,607.0,11,4,13,0.258819045102521,-0.9659258262890682,0,0,313.0,322.0,434.0,96.0,53.0,223.0,200.0,311.6666666666667,11.060440015358427,330.8333333333333,64.76238620269196,192.25,152.28807928038572,244.95833333333334,154.56178704483446
2023-01-13 12:00:00,281.0,631.0,329.0,574.0,12,4,13,1.2246467991473532e-16,-1.0,0,0,300.0,313.0,322.0,245.0,26.0,249.0,223.0,298.0,16.093476939431437,336.8333333333333,56.33974322506826,213.5,144.5768119217411,246.29166666666666,154.73609487760447
2023-01-13 13:00:00,417.0,728.0,370.0,619.0,13,4,13,-0.2588190451025208,-0.9659258262890683,0,0,281.0,300.0,313.0,371.0,30.0,399.0,248.0,332.6666666666667,73.65007354601444,344.5,64.46316777819685,245.75,143.07857027775762,247.04166666666666,155.5499302381761
2023-01-13 14:00:00,476.0,794.0,444.0,604.0,14,4,13,-0.4999999999999997,-0.8660254037844388,0,0,417.0,281.0,300.0,434.0,51.0,366.0,262.0,391.3333333333333,100.00166665277794,351.5,77.15633480149219,281.1666666666667,143.08982133505137,251.625,160.7414376649926
2023-01-13 15:00:00,500.0,784.0,432.0,620.0,15,4,13,-0.7071067811865471,-0.7071067811865479,0,0,476.0,417.0,281.0,322.0,44.0,303.0,230.0,464.3333333333333,42.712215270731434,381.1666666666667,95.56864897374356,319.1666666666667,134.68267981601863,259.8333333333333,168.3298177276738
2023-01-13 16:00:00,552.0,793.0,441.0,606.0,16,4,13,-0.8660254037844385,-0.5000000000000004,0,0,500.0,476.0,417.0,313.0,75.0,391.0,282.0,509.3333333333333,38.85013942488871,421.0,110.16714573773773,358.9166666666667,126.19138303194518,266.5416666666667,176.7803793870572
2023-01-13 17:00:00,556.0,714.0,438.0,559.0,17,4,13,-0.9659258262890683,-0.25881904510252063,0,1,552.0,500.0,476.0,300.0,96.0,507.0,348.0,536.0,31.24099870362584,463.6666666666667,103.29117419541036,397.25,107.55558816469971,268.5833333333333,179.93305921120066
2023-01-13 18:00:00,507.0,643.0,298.0,556.0,18,4,13,-1.0,-1.8369701987210297e-16,0,1,556.0,552.0,500.0,281.0,245.0,458.0,373.0,538.3333333333334,27.209067116189132,501.3333333333333,51.65913923660173,419.0833333333333,100.17934674947459,270.625,182.43636472456097
2023-01-13 19:00:00,417.0,480.0,201.0,550.0,19,4,13,-0.9659258262890684,0.2588190451025203,0,1,507.0,556.0,552.0,417.0,371.0,359.0,240.0,493.3333333333333,70.50059101407098,501.3333333333333,51.65913923660173,422.9166666666667,99.04586479673587,273.0416666666667,184.0350815249203
2023-01-13 20:00:00,253.0,360.0,132.0,470.0,20,4,13,-0.8660254037844386,0.5000000000000001,0,0,417.0,507.0,556.0,476.0,434.0,254.0,126.0,392.3333333333333,128.78405698429194,464.1666666666667,114.96332748605795,407.8333333333333,110.34230486275058,273.0,184.03969326113366
2023-01-13 21:00:00,190.0,270.0,71.0,455.0,21,4,13,-0.7071067811865477,0.7071067811865474,0,0,253.0,417.0,507.0,500.0,322.0,138.0,110.0,286.6666666666667,117.18503886304514,412.5,157.44808668256323,396.8333333333333,125.2494480723336,275.1666666666667,182.68234884550324
2023-01-13 22:00:00,102.0,204.0,36.0,410.0,22,4,13,-0.5000000000000004,0.8660254037844384,0,0,190.0,253.0,417.0,552.0,313.0,95.0,79.0,181.66666666666666,75.84413842435973,337.5,182.8384532859539,379.25,150.37838638218273,275.4583333333333,182.3875422821146
2023-01-13 23:00:00,75.0,166.0,28.0,370.0,23,4,13,-0.25881904510252157,0.9659258262890681,0,0,102.0,190.0,253.0,556.0,300.0,53.0,30.0,122.33333333333333,60.13595707506004,257.3333333333333,173.06260909470484,360.5,173.4198793260291,276.375,181.2727496967172
2023-01-14 00:00:00,56.0,159.0,29.0,343.0,0,5,14,0.0,1.0,1,0,75.0,102.0,190.0,507.0,281.0,26.0,29.0,77.66666666666667,23.115651263450957,182.16666666666666,137.15307749615616,341.75,193.76655354505127,277.625,179.56658266140627
2023-01-14 01:00:00,31.0,112.0,17.0,286.0,1,5,14,0.25881904510252074,0.9659258262890683,1,0,56.0,75.0,102.0,417.0,417.0,30.0,24.0,54.0,22.068076490717488,117.83333333333333,85.93815605810158,309.5833333333333,211.37792880970034,277.6666666666667,179.50673153580246
2023-01-14 02:00:00,47.0,71.0,8.0,314.0,2,5,14,0.49999999999999994,0.8660254037844387,1,0,31.0,56.0,75.0,253.0,476.0,51.0,31.0,44.666666666666664,12.662279942154766,83.5,57.622044392749174,273.8333333333333,216.87987179053462,277.5,179.7280554422249
2023-01-14 03:00:00,43.0,67.0,5.0,326.0,3,5,14,0.7071067811865476,0.7071067811865476,1,0,47.0,31.0,56.0,190.0,500.0,44.0,53.0,40.333333333333336,8.326663997874338,59.0,25.682678987986378,235.75,213.6552554509674,277.4583333333333,179.784648753825
2023-01-14 04:00:00,62.0,72.0,4.0,350.0,4,5,14,0.8660254037844386,0.5000000000000001,1,0,43.0,47.0,31.0,102.0,552.0,75.0,55.0,50.666666666666664,10.01665280088576,52.333333333333336,15.435888917280533,194.91666666666666,193.60243158377807,276.9166666666667,180.43953983601233
2023-01-14 05:00:00,52.0,77.0,10.0,365.0,5,5,14,0.9659258262890683,0.25881904510252074,1,0,62.0,43.0,47.0,75.0,556.0,96.0,81.0,52.333333333333336,9.50438495293051,48.5,10.858176642510356,152.91666666666666,159.87976069155167,275.0833333333333,182.5686092992146
2023-01-14 06:00:00,72.0,112.0,4.0,387.0,6,5,14,1.0,6.123233995736766e-17,1,0,52.0,62.0,43.0,56.0,507.0,245.0,167.0,62.0,10.000000000007734,51.166666666666664,14.441837371561281,116.66666666666667,115.43619515349208,267.875,187.16542613188588
2023-01-14 07:00:00,97.0,180.0,31.0,427.0,7,5,14,0.9659258262890683,-0.25881904510252063,1,1,72.0,52.0,62.0,31.0,417.0,371.0,344.0,73.66666666666667,22.5462487641178,62.166666666666664,20.05409351395928,90.0,66.21864609691931,256.4583333333333,188.94972397017625
2023-01-14 08:00:00,139.0,262.0,51.0,434.0,8,5,14,0.8660254037844387,-0.4999999999999998,1,1,97.0,72.0,52.0,47.0,253.0,434.0,449.0,102.66666666666667,33.85754470326329,77.5,35.42174473399012,80.5,45.709557385338954,244.16666666666666,186.47710354069622
