timestamp,PKW,LKW,Buses,Total
2023-01-07 10:00:00,146,578,207,489
2023-01-07 11:00:00,122,861,370,510
2023-01-07 12:00:00,154,955,510,527
2023-01-07 13:00:00,131,1017,570,524
2023-01-07 14:00:00,135,1008,584,541
2023-01-07 15:00:00,110,1100,694,545
2023-01-07 16:00:00,98,852,504,480
2023-01-07 17:00:00,89,966,614,453
2023-01-07 18:00:00,90,834,435,431
2023-01-07 19:00:00,63,771,380,385
2023-01-07 20:00:00,36,665,279,340
2023-01-07 21:00:00,31,566,194,295
2023-01-07 22:00:00,12,463,139,263
2023-01-07 23:00:00,10,366,83,250
2023-01-08 00:00:00,4,305,58,185
2023-01-08 01:00:00,6,234,37,159
2023-01-08 02:00:00,2,187,20,110
2023-01-08 03:00:00,3,201,24,132
2023-01-08 04:00:00,1,202,17,95
2023-01-08 05:00:00,1,201,25,92
2023-01-08 06:00:00,0,153,12,99
2023-01-08 07:00:00,1,193,18,117
2023-01-08 08:00:00,3,245,25,148
2023-01-08 09:00:00,3,453,96,232
2023-01-08 10:00:00,4,683,218,327
2023-01-08 11:00:00,14,1129,607,401
2023-01-08 12:00:00,33,1292,912,508
2023-01-08 13:00:00,30,1296,967,551
2023-01-08 14:00:00,46,1285,1075,619
2023-01-08 15:00:00,92,1357,1155,670
2023-01-08 16:00:00,107,1332,1209,630
2023-01-08 17:00:00,153,1201,944,614
2023-01-08 18:00:00,101,1222,971,579
2023-01-08 19:00:00,60,1129,821,571
2023-01-08 20:00:00,65,933,573,509
2023-01-08 21:00:00,37,658,295,434
2023-01-08 22:00:00,14,535,208,346
2023-01-08 23:00:00,11,412,174,270
2023-01-09 00:00:00,7,411,142,197
2023-01-09 01:00:00,7,323,107,155
2023-01-09 02:00:00,2,256,63,116
2023-01-09 03:00:00,3,192,42,140
2023-01-09 04:00:00,11,214,37,189
2023-01-09 05:00:00,27,265,67,237
2023-01-09 06:00:00,68,375,161,340
2023-01-09 07:00:00,151,521,240,408
2023-01-09 08:00:00,213,608,338,477
2023-01-09 09:00:00,122,658,422,471
2023-01-09 10:00:00,106,615,320,499
2023-01-09 11:00:00,78,522,260,444
2023-01-09 12:00:00,93,719,596,499
2023-01-09 13:00:00,74,742,487,504
2023-01-09 14:00:00,76,700,532,513
2023-01-09 15:00:00,73,829,655,475
2023-01-09 16:00:00,114,788,658,431
2023-01-09 17:00:00,98,781,650,464
2023-01-09 18:00:00,104,672,471,417
2023-01-09 19:00:00,81,552,358,367
2023-01-09 20:00:00,36,468,246,329
2023-01-09 21:00:00,37,376,167,323
2023-01-09 22:00:00,22,303,91,243
2023-01-09 23:00:00,23,237,66,224
2023-01-10 00:00:00,45,178,51,180
2023-01-10 01:00:00,19,153,20,239
2023-01-10 02:00:00,31,125,15,241
2023-01-10 03:00:00,27,106,14,271
2023-01-10 04:00:00,30,119,17,266
2023-01-10 05:00:00,37,138,24,341
2023-01-10 06:00:00,105,244,68,386
2023-01-10 07:00:00,189,436,223,474
2023-01-10 08:00:00,251,514,319,512
2023-01-10 09:00:00,230,615,434,513
2023-01-10 10:00:00,189,594,342,504
2023-01-10 11:00:00,135,566,379,465
2023-01-10 12:00:00,136,628,364,470
2023-01-10 13:00:00,145,599,373,495
2023-01-10 14:00:00,145,672,474,485
2023-01-10 15:00:00,168,731,486,500
2023-01-10 16:00:00,213,718,526,500
2023-01-10 17:00:00,255,687,512,507
2023-01-10 18:00:00,251,603,417,462
2023-01-10 19:00:00,162,489,249,458
2023-01-10 20:00:00,72,411,173,377
2023-01-10 21:00:00,57,305,102,313
2023-01-10 22:00:00,30,258,82,274
2023-01-10 23:00:00,27,213,53,264
2023-01-11 00:00:00,33,185,37,234
2023-01-11 01:00:00,12,129,17,211
2023-01-11 02:00:00,28,106,11,273
2023-01-11 03:00:00,37,100,13,256
2023-01-11 04:00:00,43,79,7,300
2023-01-11 05:00:00,71,114,24,378
2023-01-11 06:00:00,121,203,60,471
2023-01-11 07:00:00,296,350,157,552
2023-01-11 08:00:00,369,473,246,565
2023-01-11 09:00:00,293,571,347,560
2023-01-11 10:00:00,243,553,264,526
2023-01-11 11:00:00,200,606,327,504
2023-01-11 12:00:00,223,552,307,537
2023-01-11 13:00:00,248,629,328,530
2023-01-11 14:00:00,262,649,348,542
2023-01-11 15:00:00,230,689,447,541
2023-01-11 16:00:00,282,711,480,526
2023-01-11 17:00:00,348,733,491,525
2023-01-11 18:00:00,373,577,348,528
2023-01-11 19:00:00,240,448,224,521
2023-01-11 20:00:00,126,378,165,417
2023-01-11 21:00:00,110,294,92,369
2023-01-11 22:00:00,79,236,57,357
2023-01-11 23:00:00,30,208,41,282
2023-01-12 00:00:00,29,136,27,263
2023-01-12 01:00:00,24,106,9,242
2023-01-12 02:00:00,31,70,10,281
2023-01-12 03:00:00,53,61,8,303
2023-01-12 04:00:00,55,58,4,320
2023-01-12 05:00:00,81,92,11,426
2023-01-12 06:00:00,167,173,37,508
2023-01-12 07:00:00,344,333,112,600
2023-01-12 08:00:00,449,480,217,606
2023-01-12 09:00:00,346,533,326,635
2023-01-12 10:00:00,247,582,288,608
2023-01-12 11:00:00,223,550,276,573
2023-01-12 12:00:00,249,559,252,521
2023-01-12 13:00:00,399,597,295,620
2023-01-12 14:00:00,366,624,328,624
2023-01-12 15:00:00,303,687,385,552
2023-01-12 16:00:00,391,745,443,594
2023-01-12 17:00:00,507,695,449,583
2023-01-12 18:00:00,458,630,363,568
2023-01-12 19:00:00,359,455,259,542
2023-01-12 20:00:00,254,385,188,485
2023-01-12 21:00:00,138,303,85,422
2023-01-12 22:00:00,95,214,44,367
2023-01-12 23:00:00,53,153,34,330
2023-01-13 00:00:00,26,141,20,266
2023-01-13 01:00:00,30,111,14,268
2023-01-13 02:00:00,51,63,4,264
2023-01-13 03:00:00,44,45,3,339
2023-01-13 04:00:00,75,76,11,390
2023-01-13 05:00:00,96,83,12,455
2023-01-13 06:00:00,245,142,31,531
2023-01-13 07:00:00,371,253,57,597
2023-01-13 08:00:00,434,408,126,605
2023-01-13 09:00:00,322,453,174,616
2023-01-13 10:00:00,313,548,205,589
2023-01-13 11:00:00,300,606,236,607
2023-01-13 12:00:00,281,631,329,574
2023-01-13 13:00:00,417,728,370,619
2023-01-13 14:00:00,476,794,444,604
2023-01-13 15:00:00,500,784,432,620
2023-01-13 16:00:00,552,793,441,606
2023-01-13 17:00:00,556,714,438,559
2023-01-13 18:00:00,507,643,298,556
2023-01-13 19:00:00,417,480,201,550
2023-01-13 20:00:00,253,360,132,470
2023-01-13 21:00:00,190,270,71,455
2023-01-13 22:00:00,102,204,36,410
2023-01-13 23:00:00,75,166,28,370
2023-01-14 00:00:00,56,159,29,343
2023-01-14 01:00:00,31,112,17,286
2023-01-14 02:00:00,47,71,8,314
2023-01-14 03:00:00,43,67,5,326
2023-01-14 04:00:00,62,72,4,350
2023-01-14 05:00:00,52,77,10,365
2023-01-14 06:00:00,72,112,4,387
2023-01-14 07:00:00,97,180,31,427
2023-01-14 08:00:00,139,262,51,434
2023-01-14 09:00:00,139,408,145,488
2023-01-14 10:00:00,215,505,190,517
2023-01-14 11:00:00,282,656,303,533
2023-01-14 12:00:00,237,731,298,535
2023-01-14 13:00:00,221,690,254,526
2023-01-14 14:00:00,206,635,246,553
2023-01-14 15:00:00,158,619,263,524
2023-01-14 16:00:00,142,596,235,457
2023-01-14 17:00:00,124,549,212,447
2023-01-14 18:00:00,125,495,157,429
2023-01-14 19:00:00,90,417,124,394
2023-01-14 20:00:00,55,264,62,362
2023-01-14 21:00:00,32,176,27,303
2023-01-14 22:00:00,15,433,146,306
2023-01-14 23:00:00,13,231,31,227
2023-01-15 00:00:00,10,168,23,211
2023-01-15 01:00:00,3,95,11,148
2023-01-15 02:00:00,3,79,5,150
2023-01-15 03:00:00,5,74,6,129
2023-01-15 04:00:00,2,72,2,77
2023-01-15 05:00:00,2,64,3,77
2023-01-15 06:00:00,0,67,1,98
2023-01-15 07:00:00,0,90,8,119
2023-01-15 08:00:00,6,111,10,177
2023-01-15 09:00:00,5,206,17,276
2023-01-15 10:00:00,13,376,75,345
2023-01-15 11:00:00,17,581,162,476
2023-01-15 12:00:00,25,834,396,533
2023-01-15 13:00:00,41,928,457,601
2023-01-15 14:00:00,66,896,465,696
2023-01-15 15:00:00,99,916,462,708
2023-01-15 16:00:00,122,849,431,722
2023-01-15 17:00:00,161,830,418,673
2023-01-16 09:00:00,140,695,399,510
2023-01-16 10:00:00,133,607,390,516
2023-01-16 11:00:00,88,632,401,506
2023-01-16 12:00:00,89,623,438,530
2023-01-16 13:00:00,106,612,414,560
2023-01-16 14:00:00,88,637,441,598
2023-01-16 15:00:00,146,680,493,501
2023-01-16 16:00:00,164,730,591,516
2023-01-16 17:00:00,156,727,578,491
2023-01-16 18:00:00,172,578,388,461
2023-01-16 19:00:00,107,486,264,430
2023-01-16 20:00:00,63,392,173,412
2023-01-16 21:00:00,51,327,135,330
2023-01-16 22:00:00,29,264,60,314
